y_test,y_pred,y_pred_proba1,y_pred_proba2
0,0,0.9504367817611645,0.0495632182388355
0,0,0.9334023981505296,0.06659760184947028
0,0,0.9844270871274508,0.015572912872549359
0,0,0.9850709115319287,0.01492908846807119
0,0,0.9345510929147478,0.06544890708525218
0,1,0.0729273016255874,0.9270726983744126
0,0,0.8504283863272276,0.14957161367277227
0,0,0.9322134863798186,0.06778651362018134
0,0,0.9479517485411688,0.05204825145883115
0,0,0.8724068489989428,0.12759315100105695
0,0,0.9540355275475831,0.04596447245241678
0,0,0.9919169421001464,0.008083057899853646
0,0,0.9364200164517197,0.06357998354828055
0,0,0.9298757690584956,0.07012423094150452
1,1,1.6298831572861138e-06,0.9999983701168427
0,0,0.7838794464841266,0.21612055351587353
1,1,0.06116221018636692,0.9388377898136333
0,1,0.06788351895982297,0.9321164810401771
1,1,0.17345932573357306,0.8265406742664267
1,1,0.005069048566829403,0.9949309514331706
0,0,0.8996255665945304,0.1003744334054696
0,0,0.9880159402149704,0.011984059785029613
0,0,0.9392971600012745,0.06070283999872552
0,0,0.8660705768969871,0.1339294231030129
0,0,0.9744486553717856,0.025551344628214484
0,0,0.908554044171518,0.09144595582848222
0,0,0.6925413928370038,0.3074586071629962
0,0,0.9576563554845519,0.042343644515448135
0,0,0.974687494985894,0.02531250501410608
0,0,0.9636832308736278,0.036316769126372134
0,0,0.9188900124155964,0.0811099875844035
0,0,0.9011378536817232,0.098862146318277
0,0,0.9791194412688096,0.0208805587311904
0,0,0.980860108893906,0.01913989110609407
0,0,0.8877019825562897,0.11229801744371032
1,1,0.012270408486569798,0.9877295915134302
0,0,0.87871040273254,0.12128959726746012
0,0,0.9607193833724281,0.039280616627571895
1,1,0.05480686552917526,0.9451931344708248
0,0,0.9349073444241406,0.0650926555758596
0,0,0.9861134289873077,0.013886571012692289
0,0,0.9331938780965977,0.0668061219034023
0,1,0.022952717485861963,0.9770472825141381
0,0,0.9498370538351737,0.05016294616482638
0,0,0.8209920119556318,0.17900798804436804
0,0,0.8996710822613353,0.10032891773866477
0,0,0.9800431598199538,0.019956840180046276
0,1,0.12712425652615006,0.87287574347385
0,0,0.9384655870732637,0.06153441292673646
0,0,0.9946452420595512,0.0053547579404487995
0,0,0.9056586786100989,0.09434132138990109
0,0,0.979900996714781,0.02009900328521892
0,0,0.8897020786034927,0.11029792139650728
0,0,0.75708341887906,0.24291658112094
1,1,0.10924424942339601,0.8907557505766038
1,1,0.24659780903917417,0.7534021909608257
0,0,0.9866052476115672,0.01339475238843287
0,0,0.9392787269907764,0.06072127300922365
0,0,0.9394821711429936,0.06051782885700633
0,0,0.9684019288664031,0.03159807113359702
0,0,0.9819872237307546,0.01801277626924525
0,0,0.861510871629277,0.138489128370723
0,0,0.9680129959796787,0.031987004020321286
0,0,0.9886084610036299,0.011391538996370274
0,0,0.8721959737859457,0.1278040262140542
1,1,0.20936380679854305,0.7906361932014571
1,1,2.2565667256497671e-07,0.9999997743433274
0,0,0.7686836561471898,0.2313163438528101
0,0,0.8085059188843918,0.19149408111560817
1,1,2.635521494780229e-06,0.9999973644785052
1,1,0.08716215311882028,0.9128378468811797
0,0,0.9588879720469977,0.041112027953002374
0,0,0.9402028007530666,0.05979719924693337
0,0,0.9876517789104049,0.01234822108959502
0,0,0.9555813370507585,0.04441866294924142
0,0,0.8721805113515475,0.12781948864845258
0,0,0.9913127156847136,0.008687284315286415
1,1,0.0039004702147317455,0.9960995297852684
0,0,0.9439786807131152,0.056021319286884884
1,1,4.244105687154113e-06,0.9999957558943128
1,1,0.011776865154729038,0.9882231348452709
0,0,0.8981674127209343,0.10183258727906579
0,0,0.9312293632403192,0.06877063675968073
0,0,0.9416001946208071,0.05839980537919281
0,0,0.8447865150492145,0.1552134849507855
0,0,0.9963663811059883,0.0036336188940116407
0,0,0.8685042433155324,0.13149575668446778
1,1,1.417367132721658e-06,0.9999985826328672
0,0,0.8088278981676662,0.19117210183233393
0,0,0.9119801008946858,0.08801989910531438
0,0,0.9624369766916107,0.03756302330838931
0,0,0.9200436666937165,0.0799563333062836
1,1,0.007167529285902246,0.9928324707140976
0,0,0.5620817322980105,0.4379182677019894
1,1,0.005517014574873789,0.9944829854251263
1,1,2.7551967746512098e-06,0.9999972448032254
0,0,0.9343053554849697,0.06569464451503013
0,0,0.9626121895949646,0.03738781040503536
0,0,0.9408912559545198,0.05910874404548026
0,0,0.9560529624493193,0.04394703755068071
