y_test,y_pred,y_pred_proba
0,0,0.18115008694238474
0,0,0.027549016023642185
1,1,0.7355702094103027
0,0,0.027571158654830095
0,0,0.1960981598904445
0,0,0.2727361164245299
0,1,0.5996882896408988
0,0,0.01856205128514897
0,0,0.05605741827378823
0,0,0.269037754601254
0,0,0.0563760658881537
0,0,0.018702403611569447
1,1,0.551327333162819
0,0,0.38296417037322383
0,0,0.09440721253039344
1,1,0.8731498065349612
0,0,0.19106395396513395
0,0,0.4768264450403249
0,0,0.26024808287073153
0,0,0.1769179223362147
0,0,0.0911709226669541
0,0,0.019067110759848495
0,0,0.08590687543163146
0,1,0.5946302905512925
1,0,0.34201350746360126
1,1,0.6643415939723455
0,1,0.7133891596639792
0,0,0.22241414055347636
0,0,0.22611539091852972
0,0,0.08342196413492065
0,0,0.15658875236516837
0,0,0.23028126227514203
0,0,0.06632839188869782
1,1,0.9999819308423813
0,0,0.18100248599556387
0,0,0.23742785083269605
0,0,0.0636577519396118
1,0,0.29350793467136527
0,0,0.2043367112435199
1,1,0.9999992520624812
0,0,0.090926950187124
0,0,0.01988266095664363
0,0,0.18175580288201706
0,1,0.9661940972331767
0,0,0.21053210342843465
1,1,0.5966872441428501
0,0,0.07428247533645953
0,0,0.20013595690792244
1,1,0.9297901653769927
0,0,0.028227283154447877
0,0,0.14865214711383518
0,0,0.03143549988770303
1,1,0.6432816047475517
0,0,0.3827209183924983
1,0,0.35347150483743794
0,0,0.16875428108425483
0,1,0.9098372148588293
0,0,0.40269537954197976
0,0,0.15339283779542906
0,0,0.021930463274418627
1,1,0.9722644709656008
0,0,0.09752026104297552
1,1,0.7941304626538651
0,0,0.17796223126572097
1,1,0.9764703699680736
0,0,0.07072739597973472
0,0,0.09322142476496298
0,0,0.11870063877427414
0,0,0.06771615897082622
0,0,0.06191357379342779
1,1,0.9276172170326494
0,1,0.5509165211890927
0,0,0.17372588291060614
1,0,0.15907512488706096
1,1,0.967213725558085
0,0,0.07968168828048154
0,0,0.031219956101416903
0,0,0.14169337219478442
0,1,0.9397721203468442
0,0,0.13330585643112877
0,0,0.17837533236487135
0,0,0.385924440059262
1,1,0.8765921179313302
0,0,0.1498954275207098
0,0,0.07672443210532101
0,1,0.9660739301879413
0,0,0.10898345843033293
0,0,0.05578943615066628
0,0,0.010061345648101573
0,0,0.0922129091210017
0,1,0.7611475921286307
0,0,0.09541914881299388
1,1,0.8217093393600002
1,1,0.9999999923364169
0,0,0.2653895639253882
0,0,0.03163241316478315
0,0,0.4104368111055296
1,1,0.9852932408044098
0,0,0.24638349685228583
1,1,0.999994854141238
0,0,0.09706322310590014
1,0,0.428782201095611
1,0,0.341659661237032
1,1,0.9999999231191964
0,0,0.11517575161102901
0,1,0.7358520361841034
0,0,0.02634769983253549
0,0,0.06720308879291934
0,0,0.03555556110645989
1,1,0.9666946042949478
0,0,0.13801232496524138
0,0,0.2103077352740995
1,1,0.9460270749731139
0,0,0.08441073773110899
0,0,0.008442058188172405
0,0,0.07838745886399492
1,1,0.8381110809670186
0,0,0.12952308874522234
0,0,0.055184280144035716
0,0,0.0920620425782624
0,1,0.6821280135031769
0,0,0.3034526176794219
0,0,0.11424596667082726
0,0,0.12860134884603078
0,0,0.05895474124132654
1,1,0.861507507326344
1,1,0.9211828967074193
0,0,0.1555628977130705
1,0,0.15958469396342434
1,1,0.9420545128347702
1,1,0.755598651515894
0,1,0.9335205011907691
1,0,0.2209821137024224
0,0,0.4489912662120715
0,0,0.07837079790611394
0,0,0.09120729986710537
0,0,0.08803020852449242
0,0,0.002472619802924732
0,0,0.10044104970000056
0,0,0.21245821301158332
0,0,0.23463933656755206
1,1,0.7570299267483713
0,1,0.7233917680238282
1,1,0.9888786493371815
0,0,0.08316067286854507
1,1,0.9768524110412153
0,0,0.18128421275868772
0,0,0.33956470234950525
0,0,0.22224570404692934
0,1,0.6403827895118156
0,1,0.6910729586875556
0,0,0.060905010062368786
0,0,0.43818927079731523
0,0,0.01769652825398005
1,1,0.7008835110263343
1,0,0.49419215501125735
0,0,0.1479716438339863
1,0,0.049087821599782
1,1,0.5991972191469604
0,0,0.49361635639983703
1,1,0.9964006340548747
0,0,0.150538313309903
0,1,0.6757544755456708
1,1,0.9969672188298505
0,1,0.8788104171653796
0,0,0.13599792296576765
0,0,0.15102780771588636
1,0,0.22327856966548626
0,0,0.1735881187442966
0,0,0.2704441899987987
0,0,0.07412561938694479
0,0,0.04164674654773599
0,0,0.26397516412171557
0,0,0.4004228053944167
0,0,0.07674662531566741
0,0,0.4273126024911559
0,0,0.036297850099817064
0,0,0.4702376963998045
0,0,0.1123659927144031
0,0,0.18588792080130714
0,0,0.2943362175602748
0,1,0.9945750849526959
0,1,0.9373226084758441
0,0,0.1727100105953232
1,1,0.9190777123404972
0,0,0.07437077642310795
0,0,0.08914259596923062
0,1,0.9826363522673243
1,1,0.9652827900338751
1,1,0.6390566546423335
0,0,0.23559121956353846
0,0,0.05085142032327479
0,0,0.1792272548459967
1,1,0.9421653263832004
1,1,0.9932933581110538
0,0,0.09806539659924342
0,0,0.1208413250632469
1,1,0.9878662536846812
1,1,0.9480156620991738
0,0,0.0502728544285511
0,0,0.032572046921688975
0,0,0.07181088670359242
0,0,0.025105831929267006
1,1,0.9999998760945615
0,0,0.1394958979771937
0,0,0.11255675498934091
0,0,0.2619603212168511
0,0,0.09671432002365839
0,0,0.3328380938919976
0,0,0.02693696482283702
0,0,0.0766140194973033
0,0,0.2509941488533976
1,1,0.996415534973287
